cell,cell_x,cell_y,gene_A,gene_B,r_check,gene_A_count,gene_B_count,colocalization_count
98_241,-55388.68389423077,1492.608173076923,Gabra2,Gabrb1,0.5,1,0,0
98_243,-55330.625,1477.1009615384614,Gabra2,Gabrb1,0.5,1,0,0
98_244,-55434.25480769231,1473.6640625,Gabra2,Gabrb1,0.5,1,0,0
98_344,-55366.97115384616,1476.592548076923,Gabra2,Gabrb1,0.5,0,0,0
98_346,-55403.52163461538,1473.3617788461538,Gabra2,Gabrb1,0.5,0,0,0
99_2,-55436.682692307695,1467.3305288461538,Gabra2,Gabrb1,0.5,0,0,0
99_3,-55404.35096153846,1464.4375,Gabra2,Gabrb1,0.5,0,0,0
99_4,-55466.14182692307,1455.5288461538462,Gabra2,Gabrb1,0.5,0,0,0
99_8,-55460.54086538462,1443.4879807692307,Gabra2,Gabrb1,0.5,0,0,0
99_10,-55404.06850961539,1445.3070913461538,Gabra2,Gabrb1,0.5,0,0,0
99_12,-55489.91586538461,1435.0625,Gabra2,Gabrb1,0.5,0,0,0
99_13,-55349.95192307692,1430.7596153846152,Gabra2,Gabrb1,0.5,2,4,0
99_15,-55411.875,1431.0216346153843,Gabra2,Gabrb1,0.5,0,0,0
99_16,-55404.90384615384,1429.7644230769229,Gabra2,Gabrb1,0.5,0,0,0
99_17,-55320.81730769231,1430.7524038461538,Gabra2,Gabrb1,0.5,3,0,0
99_18,-55311.24999999999,1426.6117788461538,Gabra2,Gabrb1,0.5,0,0,0
99_25,-55378.05288461538,1399.1935096153845,Gabra2,Gabrb1,0.5,0,0,0
99_29,-55292.84254807692,1384.0811298076924,Gabra2,Gabrb1,0.5,0,0,0
99_37,-55444.90384615384,1364.2554086538462,Gabra2,Gabrb1,0.5,2,1,0
99_39,-55470.96754807692,1368.1358173076922,Gabra2,Gabrb1,0.5,0,2,0
99_57,-55316.05769230769,1352.762019230769,Gabra2,Gabrb1,0.5,4,4,0
99_81,-55477.1875,1339.048076923077,Gabra2,Gabrb1,0.5,3,4,0
99_84,-55319.30288461539,1336.1574519230767,Gabra2,Gabrb1,0.5,1,1,0
99_109,-55415.64903846154,1330.4038461538462,Gabra2,Gabrb1,0.5,0,0,0
99_114,-55490.08413461538,1328.6141826923076,Gabra2,Gabrb1,0.5,2,0,0
99_121,-55460.60096153846,1324.2818509615386,Gabra2,Gabrb1,0.5,1,1,0
99_138,-55497.289663461546,1320.1766826923076,Gabra2,Gabrb1,0.5,5,0,0
99_154,-55477.578125,1311.329326923077,Gabra2,Gabrb1,0.5,8,1,0
99_163,-55496.20192307692,1309.7493990384614,Gabra2,Gabrb1,0.5,0,2,0
99_169,-55460.28846153845,1308.4411057692307,Gabra2,Gabrb1,0.5,9,2,0
99_170,-55387.199519230766,1306.8557692307693,Gabra2,Gabrb1,0.5,3,2,0
99_179,-55487.24759615384,1306.6021634615383,Gabra2,Gabrb1,0.5,2,3,0
99_187,-55448.756009615376,1303.4254807692307,Gabra2,Gabrb1,0.5,4,1,0
99_188,-55462.74038461538,1299.25,Gabra2,Gabrb1,0.5,4,3,0
99_191,-55470.33653846154,1299.8413461538462,Gabra2,Gabrb1,0.5,1,0,0
