gene_A,gene_B,pvalue,qvalue_BH,qvalue_BO,gene_B_around,gene_B_slice,gene_around,gene_slice,gene_A_N,gene_B_N,pair,enrichment_ratio,support_ratio
Clu,Apoe,3.546414862528735e-170,2.6172541685462066e-167,2.6172541685462066e-167,451,5932,9697,643013,3729,5932,Apoe_Clu,5.04147661674009,0.12094395280235988
Apoe,Cst3,1.9264235234099552e-159,7.696061976022771e-157,1.5392123952045541e-156,453,4330,14484,645946,5936,4330,Apoe_Cst3,4.665712806932617,0.1046189376443418
Apoe,Slc1a2,2.685539591346802e-140,7.152487111620317e-138,2.145746133486095e-137,398,4032,14519,688849,5958,4032,Apoe_Slc1a2,4.683277324348937,0.09871031746031746
Clu,Slc1a2,4.098233503462469e-96,1.512248162777651e-93,3.024496325555302e-93,265,4130,9989,756162,3826,4130,Clu_Slc1a2,4.857229877805053,0.06926293779404077
Clu,Cst3,3.197679384807373e-89,7.866291286626137e-87,2.359887385987841e-86,273,4333,9838,684434,3789,4333,Clu_Cst3,4.383274967231673,0.07205067300079177
Cr1l,Cd46,4.096019743172822e-71,1.6425039170123016e-68,1.6425039170123016e-68,47,235,753,261602,279,235,Cd46_Cr1l,69.48260292164674,0.2
Clu,Glul,1.2101670992660112e-62,2.2327582981457905e-60,8.931033192583162e-60,242,5040,10037,749867,3867,5040,Clu_Glul,3.587278933027165,0.0625808119989656
Gabrb1,Gabra2,2.342066033990312e-49,1.2178743376749622e-46,1.2178743376749624e-46,70,1550,2981,758653,1124,1550,Gabra2_Gabrb1,11.49337416541321,0.06227758007117438
Cst3,Slc1a2,1.0815445831866266e-46,2.7363077954621656e-44,8.208923386386496e-44,200,4107,11067,749565,4410,4107,Cst3_Slc1a2,3.2982584395477366,0.048697345994643294
Slc1a3,Apoe,1.1066721065002426e-46,5.710428069541252e-44,5.710428069541252e-44,173,5200,3647,401647,1293,5200,Apoe_Slc1a3,3.6639667482229865,0.13379737045630316
Apoe,Glul,8.029426130650556e-42,1.0692519130649657e-39,6.415511478389794e-39,267,4958,14665,694830,6020,4958,Apoe_Glul,2.551533254379405,0.05385235982250908
Atp1a2,Apoe,9.68899328050228e-41,5.600238116130318e-38,5.600238116130318e-38,175,5532,4321,446784,1591,5532,Apoe_Atp1a2,3.2709147326204415,0.10999371464487744
Tnr,Cop1,3.1205425874850026e-40,1.3855209088433411e-37,1.3855209088433411e-37,43,717,1603,516281,576,717,Cop1_Tnr,19.315320559167738,0.07465277777777778
Shprh,Grm1,1.9044278333194494e-39,9.02698792993419e-37,9.02698792993419e-37,35,400,1258,423764,470,400,Grm1_Shprh,29.474841017488078,0.0875
Slc1a2,Glul,1.4282616313513082e-35,2.7815395270566727e-33,1.1126158108226691e-32,190,5075,10924,826504,4253,5075,Glul_Slc1a2,2.8325711183222007,0.04467434751939807
Cst3,Glul,3.4062249933904094e-35,5.170649539966642e-33,2.5853247699833207e-32,203,5004,11165,743194,4460,5004,Cst3_Glul,2.700363345687087,0.04551569506726457
Clu,Atp1a2,7.605931157138803e-35,1.1226354387936871e-32,5.613177193968437e-32,118,1622,8936,478056,3420,1622,Atp1a2_Clu,3.891945684174737,0.07274969173859433
Aldoc,Glul,2.3429106663135156e-35,1.3823172931249743e-32,1.3823172931249743e-32,152,4588,5869,578760,2388,4588,Aldoc_Glul,3.2670409431851453,0.06365159128978225
Slc1a3,Cst3,1.1318687702989131e-34,2.920221427371196e-32,5.840442854742391e-32,122,3659,3704,421876,1317,3659,Cst3_Slc1a3,3.79761787409016,0.0926347760060744
Atp1a2,Slc1a2,9.206764214364407e-31,1.7738365719675426e-28,5.3215097159026275e-28,117,3625,4391,484060,1611,3625,Atp1a2_Slc1a2,3.558062808723172,0.07262569832402235
Cpe,Apoe,5.1649656187281e-31,3.2694232366548874e-28,3.2694232366548874e-28,141,5862,5049,657500,1978,5862,Apoe_Cpe,3.1323024128129795,0.07128412537917088
Bcl2l1,Id1,1.6868326490707493e-30,8.28234830693738e-28,8.28234830693738e-28,26,221,774,204564,297,221,Bcl2l1_Id1,31.093479252165988,0.11764705882352941
Cntn2,Nfasc,4.242583883889423e-30,1.0351904676690191e-27,1.0351904676690193e-27,24,272,488,207264,175,272,Cntn2_Nfasc,37.47540983606557,0.13714285714285715
